bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
Sedán,Ford,Chapinero,Plateado,4,Gasolina,70000,Fusion,2.0,57000000,Bogotá D.C.,Automática,2014
Camioneta,Kia,Pereira,Blanco,5,Gasolina,98000,Sportage,2.0,68500000,Risaralda,Automática,2014
,Mercedes-Benz,Suba,Gris,5,Gasolina,35900,Clase C,,88900000,Bogotá D.C.,Automática,2015
Sedán,Kia,Usaquén,Gris,4,Gasolina,59300,Rio,1.4,55000000,Bogotá D.C.,Automática,2017
Camioneta,Mazda,Medellín,Blanco,5,Gasolina,28750,CX-5,2.5,119900000,Antioquia,Automática,2019
Camioneta,Ford,Medellín,Negro,5,Gasolina,47300,Explorer,2.3,153000000,Antioquia,Automática,2019
Pick-Up,Toyota,Kennedy,Plateado,2,Diésel,50086,Hilux,2.8,178500000,Bogotá D.C.,Automática,2018
Camioneta,Hyundai,Engativa,Negro,5,Gasolina,55000,TUCSON IX-35,2.0,58000000,Bogotá D.C.,Mecánica,2011
Sedán,Chevrolet,Suba,,4,Gasolina,92444,AVEO EMOTION,1.6,28900000,Bogotá D.C.,Mecánica,2012
Camioneta,Nissan,Medellín,Plateado,4,Gasolina,159745,D22,2.389,47000000,Antioquia,Mecánica,2012
Sedán,Chevrolet,Usaquén,Azul,4,Gasolina,49285,Sonic,1.6,50500000,Bogotá D.C.,Mecánica,2018
Camioneta,Renault,Suba,,5,Gasolina,44000,Captur,2.0,72000000,Bogotá D.C.,Automática,2018
,Mazda,Cali,Gris,5,Gasolina,69000,3,2000,60800000,Valle Del Cauca,Automática,2016
Camioneta,Honda,Suba,Plateado,5,Gasolina,43205,Pilot,3.5,116900000,Bogotá D.C.,Automática,2016
Camioneta,Land Rover,Usaquén,Marrón,5,Diésel,26200,Range Rover Velar,2.0,250000000,Bogotá D.C.,Automática,2019
Camioneta,Dodge,Chía,Plateado,5,Gasolina,93000,Journey,2.4,49000000,Cundinamarca,Automática,2012
Camioneta,Ford,Usaquén,Gris,5,Gasolina,96000,Escape,3.0,45800000,Bogotá D.C.,Automática,2012
Camioneta,Volkswagen,Suba,Gris,5,Gasolina,69000,Tiguan,2.0,57900000,Bogotá D.C.,Automática,2012
Camioneta,Dodge,Fontibón,,5,Gasolina,123000,Durango,3.6,65000000,Bogotá D.C.,Mecánica,2012
Hatchback,Chevrolet,Suba,Gris,5,Gasolina,57417,Sonic,1.6,38800000,Bogotá D.C.,Mecánica,2015
Camioneta,Nissan,Bucaramanga,,5,Gasolina,61000,Pathfinder,3.5,119000000,Santander,Automática,2018
Camioneta,Toyota,Villavicencio,,5,Diésel,98200,Prado,3.0,237000000,Meta,Automática,2018
Sedán,Chevrolet,Engativa,Azul,5,Gasolina,111000,Sonic,1.6,37800000,Bogotá D.C.,Mecánica,2016
Station Wagon,Ford,Suba,Gris,5,Gasolina,42000,Fiesta,1.5,51500000,Bogotá D.C.,Mecánica,2018
Hatchback,Renault,Engativa,Gris,5,Gasolina,55000,Sandero,1.6,43800000,Bogotá D.C.,Mecánica,2016
Camioneta,Hyundai,Cali,Plateado,5,Diésel,76000,TUCSON IX-35,2.0,51900000,Valle Del Cauca,Mecánica,2011
Station Wagon,Nissan,Usaquén,Plateado,5,Gasolina,90800,Pathfinder,3.5,77300000,Bogotá D.C.,Automática,2014
Sedán,Toyota,Suba,Blanco,4,Gasolina,131000,Corolla,1.8,41500000,Bogotá D.C.,Mecánica,2012
,Toyota,Medellín,,5,Gasolina,82000,4Runner,,230000000,Antioquia,Automática,2018
SUV,Land Rover,Usaquén,Plateado,5,Gasolina,26000,Range Rover,2.0,162000000,Bogotá D.C.,Automática,2018
Hatchback,Chevrolet,Suba,Negro,5,Gasolina,77855,Spark,1.0,27500000,Bogotá D.C.,Mecánica,2018
Sedán,Mazda,Medellín,Gris,4,Gasolina,79034,3,2.0,67500000,Antioquia,Automática,2016
Hatchback,Mazda,Dosquebradas,,5,Gasolina,50000,3,2.0,75000000,Risaralda,Automática,2018
Sedán,Renault,Tunja,Negro,4,Gasolina,52400,Logan,1.6,45990000,Boyaca,Automática,2018
Camioneta,Lexus,Acacias,,5,Gasolina,74000,GX,4.6,200000000,Meta,Automática,2012
Coupé,Mini,Puente Aranda,,2,Gasolina,34600,Cooper,1.6,53000000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Suba,Gris,4,Gasolina,44000,3,2.0,66000000,Bogotá D.C.,Automática,2018
Pick-Up,Nissan,Engativa,,2,Diésel,45600,Frontier,2.5,128000000,Bogotá D.C.,Automática,2018
Camioneta,Toyota,Bucaramanga,Blanco,5,Gasolina,133000,Fortuner,2.7,88500000,Santander,Mecánica,2012
,Ford,Funza,Blanco,4,Diésel,195000,Ranger,,60000000,Cundinamarca,Mecánica,2012
Sedán,Mazda,Cali,Plateado,4,Gasolina,41000,3,2.0,52900000,Valle Del Cauca,Mecánica,2016
Sedán,Renault,Medellín,,5,Gasolina,93300,Logan,1.6,40900000,Antioquia,Automática,2018
Camioneta,Chevrolet,Medellín,,5,Gasolina,45000,Tracker,1.8,65400000,Antioquia,Mecánica,2018
Pick-Up,Nissan,Medellín,Blanco,2,Diésel,118000,Frontier,2.5,76900000,Antioquia,Mecánica,2012
Sedán,Chevrolet,Suba,Blanco,5,Gasolina,122000,AVEO EMOTION,16,28990000,Bogotá D.C.,Mecánica,2012
Coupé,BMW,Envigado,Gris,2,Gasolina,19000,Serie 1,3.0,82800000,Antioquia,Automática,2012
,Chevrolet,Usaquén,Plateado,5,Gasolina,41000,Spark GT,1206,38300000,Bogotá D.C.,Mecánica,2018
Pick-Up,Mazda,Usaquén,Blanco,4,Diésel,99380,BT-50,3.2,120500000,Bogotá D.C.,Automática,2018
Hatchback,Volkswagen,Suba,Rojo,5,Gasolina,45000,Gol,1.6,42000000,Bogotá D.C.,Mecánica,2018
Sedán,Renault,Suba,Rojo,4,Gasolina,119000,Logan,1.6,25800000,Bogotá D.C.,Mecánica,2012
Camioneta,Toyota,Suba,Gris,5,Diésel,167220,Prado,3.0,210000000,Bogotá D.C.,Automática,2012
Camioneta,Ford,Anolaima,Dorado,5,Gasolina,93000,Ecosport,2.0,38000000,Cundinamarca,Mecánica,2012
Sedán,Mercedes-Benz,Cúcuta,Plateado,4,Gasolina,31144,Clase C,2.0,127900000,Norte De Santander,Automática,2018
Camioneta,Ford,Suba,Negro,5,Gasolina,84294,Ecosport,2.0,45000000,Bogotá D.C.,Mecánica,2012
Camioneta,Mercedes-Benz,Fontibón,Blanco,5,Gasolina,99500,Clase GL,4.7,140000000,Bogotá D.C.,Automática,2012
Sedán,Mazda,Medellín,Blanco,4,Gasolina,124000,3,1.6,39900000,Antioquia,Mecánica,2012
Pick-Up,Mazda,Medellín,Blanco,4,Diésel,100000,BT-50,3.2,125000000,Antioquia,Automática,2018
Sedán,Nissan,Suba,Gris,5,Gasolina y gas,114600,Sentra 2.0,16 válvulas,34820000,Bogotá D.C.,Automática,2012
Sedán,Volkswagen,Medellín,,4,Gasolina,78000,Jetta,2.5,45800000,Antioquia,Mecánica,2012
,Chevrolet,Kennedy,,4,Gasolina,92000,Aveo,,23800000,Bogotá D.C.,Mecánica,2012
Camioneta,Dodge,Barranquilla,Negro,5,Gasolina,75744,Journey,2.4,72000000,Atlántico,Automática,2018
Sedán,Chevrolet,Cúcuta,Blanco,4,Gasolina,124579,Aveo,1600,27900000,Norte De Santander,Mecánica,2012
Sedán,Volvo,Usaquén,Naranja,5,Gasolina,63660,S60,2.0,53000000,Bogotá D.C.,Automática,2012
Camioneta,Zotye,Engativa,Plateado,5,Gasolina,115000,Nomada,1.3,21900000,Bogotá D.C.,Mecánica,2012
,Toyota,Barranquilla,,5,Gasolina,39000,Fortuner,,157000000,Atlántico,Automática,2018
Hatchback,Nissan,Cartagena De Indias,Blanco,5,Gasolina,81000,March,1.6,41000000,Bolívar,Mecánica,2018
,Toyota,Cúcuta,Blanco,5,Gasolina,36297,Fortuner,2700,169900000,Norte De Santander,Automática,2018
Sedán,Chevrolet,Kennedy,,4,Gasolina,66000,Aveo,1.6,28500000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Barrios Unidos,Azul,4,Gasolina,96000,3,1.6,41900000,Bogotá D.C.,Mecánica,2012
Sedán,Renault,Kennedy,Plateado,4,Gasolina,38000,Logan,1.6,38000000,Bogotá D.C.,Mecánica,2018
,Mazda,Medellín,,5,Gasolina,62000,CX-5,,124000000,Antioquia,Automática,2018
Hatchback,Kia,Suba,Negro,5,Gasolina,35200,Picanto,1.2,38500000,Bogotá D.C.,Mecánica,2018
Camioneta,Hyundai,Medellín,Azul,5,Gasolina,78623,TUCSON IX-35,2.0,52000000,Antioquia,Mecánica,2012
Hatchback,Hyundai,Suba,,5,Gasolina,108000,i10,1.1,21800000,Bogotá D.C.,Mecánica,2012
Sedán,Renault,Medellín,,4,Gasolina,89000,Logan,1.6,23500000,Antioquia,Mecánica,2012
Camioneta,Ford,Medellín,Gris,5,Gasolina,35300,Escape,2.0,86490000,Antioquia,Automática,2018
Hatchback,Mazda,Medellín,,5,Gasolina,48800,2,1.5,64800000,Antioquia,Automática,2018
Convertible,Mini,Medellín,Rojo,2,Gasolina,48000,Cooper,1.6,79900000,Antioquia,Automática,2012
,Mercedes-Benz,Suba,NEGRO OBSIDIANA METALIZADO,4,Gasolina,33900,Clase C,6280,165000000,Bogotá D.C.,Automática,2012
Convertible,BMW,Usaquén,Plateado,2,Gasolina,71000,Serie 3,2.5,77000000,Bogotá D.C.,Automática,2012
Pick-Up,Ford,Teusaquillo,,2,Diésel,83200,Ranger,3.2,127999997,Bogotá D.C.,Automática,2018
,Kia,Teusaquillo,Plateado,4,Gasolina,73000,Rio,,36000000,Bogotá D.C.,Mecánica,2012
Sedán,Kia,Envigado,Plateado,4,Gasolina,82500,Rio,1.4,41500000,Antioquia,Mecánica,2012
Camioneta,Hyundai,Medellín,,5,Gasolina,110650,TUCSON IX-35,2.0,53900000,Antioquia,Mecánica,2012
Sedán,Kia,Barranquilla,Blanco,4,Gasolina,56000,Rio,1.4,59500000,Atlántico,Automática,2018
Hatchback,Renault,Pereira,Rojo,5,Gasolina,85000,Sandero,1.6,27350000,Risaralda,Mecánica,2012
Camioneta,Nissan,Montería,,5,Gasolina,78500,Qashqai,2.0,79900000,Córdoba,Automática,2018
Hatchback,SEAT,Usaquén,Negro,5,Gasolina,75350,Leon,1.6,33500000,Bogotá D.C.,Mecánica,2012
Sedán,Renault,Puente Aranda,Azul,4,Gasolina,132000,Logan,1.6,25200000,Bogotá D.C.,Mecánica,2012
Pick-Up,Volkswagen,Suba,Blanco,2,Gasolina,50000,Saveiro,1.6,40000000,Bogotá D.C.,Mecánica,2018
Hatchback,Mercedes-Benz,Usaquén,Gris,5,Gasolina,49700,Clase A,1.6,84500000,Bogotá D.C.,Automática,2018
Camioneta,Ford,Medellín,,5,Gasolina,137000,Ecosport,2.0,41800000,Antioquia,Mecánica,2012
Camioneta,Toyota,Medellín,Plateado,5,Gasolina,166709,4Runner,4.0,129900000,Antioquia,Automática,2012
Camioneta,Toyota,Medellín,Blanco,2,Gasolina,230000,Land Cruiser,3956,170000000,Antioquia,Mecánica,2012
,Kia,Medellín,,5,Gasolina,60000,Rio,,56900000,Antioquia,Mecánica,2018
,Toyota,Engativa,Plateado,4,Gasolina,49000,2018,2700,151500000,Bogotá D.C.,Automática,2018
Sedán,Nissan,Kennedy,Blanco,5,Gasolina,125000,Tiida,1800,29000000,Bogotá D.C.,Mecánica,2012
Sedán,Toyota,Medellín,,4,Gasolina,112000,Corolla,1.8,49500000,Antioquia,Mecánica,2012
,Nissan,Bogota,Blanco,5,Gasolina,5000,Qashqai,,78500000,Cundinamarca,Automática,2018
Station Wagon,Chevrolet,Puente Aranda,Gris,5,Gasolina,31800,Tracker,1.8,65490000,Bogotá D.C.,Mecánica,2018
Camioneta,Mercedes-Benz,Usaquén,,5,Diésel,17500,Clase GLC,2.2,152000000,Bogotá D.C.,Automática,2018
Hatchback,Nissan,Medellín,,5,Gasolina,50000,March,1.6,39500000,Antioquia,Mecánica,2018
Sedán,Mercedes-Benz,Usaquén,Negro,4,Diésel,59000,Clase C,2.2,58900000,Bogotá D.C.,Automática,2012
,Chevrolet,Medellín,,5,Gasolina y gas,94200,SONIC LT,,46900000,Antioquia,Mecánica,2018
Pick-Up,Toyota,Medellín,,2,Diésel,90000,Hilux,2.8,196000000,Antioquia,Automática,2018
Hatchback,Renault,Barranquilla,Gris,5,Gasolina,32000,Stepway,1.6,48900000,Atlántico,Mecánica,2018
,,Cali,,,,,,,130000000,Valle Del Cauca,,
Camioneta,Honda,Chapinero,Blanco,5,Gasolina,120000,CR-V,2.4,67000000,Bogotá D.C.,Automática,2012
,Chevrolet,Barranquilla,,2,Gasolina,4900,Camaro,,179000000,Atlántico,Automática,2018
Camioneta,Toyota,Medellín,Blanco,5,Gasolina y gas,60000,4Runner,4.0,208900000,Antioquia,Automática,2018
Sedán,Mercedes-Benz,Envigado,,4,Gasolina,19500,Clase CLA,2.0,149500000,Antioquia,Automática,2018
Pick-Up,Mazda,Montería,,2,Diésel,74000,BT-50,3.2,132000000,Córdoba,Automática,2018
,Chevrolet,Altamira,,5,Gasolina,219000,N300,,26500000,Huila,Mecánica,2012
Camioneta,Toyota,Envigado,,5,Gasolina,129000,4Runner,4.0,140000000,Antioquia,Automática,2012
Sedán,Volkswagen,Usaquén,Gris,4,Gasolina,38000,Voyage,1.600,40500000,Bogotá D.C.,Mecánica,2018
Sedán,Renault,Ibagué,,4,Gasolina,154000,Logan,1.6,26700000,Tolima,Mecánica,2012
Pick-Up,Ford,Bucaramanga,Blanco,4,Diésel,251000,Ranger,,55000000,Santander,Mecánica,2012
Camioneta,Honda,Girardot,Negro,5,Gasolina,155000,CR-V,2.4,58000000,Cundinamarca,Automática,2012
,Ford,Bucaramanga,,4,Diésel,251000,Ranger,,58000000,Santander,Mecánica,2012
Sedán,Honda,Suba,,4,Gasolina,72000,Civic,1.8,44000000,Bogotá D.C.,Mecánica,2012
Sedán,Volkswagen,Bello,,4,Gasolina,126000,Jetta,2.0,29200000,Antioquia,Mecánica,2012
Sedán,Chevrolet,Villa Del Rosario,Rojo,4,Gasolina,27600,Sail,1.4,37500000,Norte De Santander,Mecánica,2018
Sedán,Kia,Medellín,Gris,4,Gasolina,82000,CERATO FORTE,1.6,39000000,Antioquia,Automática,2012
Camioneta,Kia,Tenjo,,5,Gasolina,106000,Sportage,2.4,63000000,Cundinamarca,Mecánica,2012
Camioneta,Hyundai,Engativa,,5,Gasolina,108000,TUCSON IX-35,2.0,54400000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Fontibón,Azul,4,Gasolina,19500,3,2.0,66900000,Bogotá D.C.,Automática,2018
Hatchback,Mini,Kennedy,Gris,5,Gasolina,27500,Cooper,1.5,82000000,Bogotá D.C.,Automática,2018
,Porsche,Suba,,2,Gasolina,15000,Cayman,,380000000,Bogotá D.C.,Automática,2018
Camioneta,Ford,Medellín,,5,Gasolina,104000,Explorer,3.5,73500000,Antioquia,Automática,2012
Hatchback,Kia,Engativa,,5,Gasolina,92000,Picanto,1.2,29000000,Bogotá D.C.,Mecánica,2012
Camioneta,Renault,Floridablanca,Blanco,5,Gasolina,22000,Koleos,2.5,83000000,Santander,Automática,2018
Hatchback,Renault,Tunja,,5,Gasolina,110000,Stepway,1.6,33800000,Boyaca,Mecánica,2012
Camioneta,Chery,Kennedy,,5,Gasolina,87000,YOYA,1.3,22500000,Bogotá D.C.,Mecánica,2012
,Nissan,Medellín,,4,Gasolina,87000,Tiida,,28700000,Antioquia,Mecánica,2012
Sedán,Ford,Pereira,,4,Gasolina,132000,Fiesta,1.6,30500000,Risaralda,Mecánica,2012
,Chevrolet,Engativa,,5,Gasolina,47000,Onix,,43000000,Bogotá D.C.,Automática,2018
,Chevrolet,Palmira,,4,Gasolina,9000,Spark,,20000000,Valle Del Cauca,Mecánica,2012
,,Dosquebradas,,,,,,,32000000,Risaralda,,
Pick-Up,Nissan,San Juan Del Cesar,,2,Gasolina,160000,Frontier,2.4,46800000,Guajira,Mecánica,2012
Hatchback,Mazda,Manizales,,5,Gasolina,43000,2,1.5,65900000,Caldas,Automática,2018
,Toyota,Medellín,,5,Gasolina,52000,Rav4 2.0,,107000000,Antioquia,Automática,2018
,Chevrolet,Suba,,5,Gasolina,181543,Spark GT,,25000000,Bogotá D.C.,Mecánica,2012
Pick-Up,Volkswagen,Dosquebradas,,2,Diésel,81000,Amarok,2.0,98500000,Risaralda,Automática,2018
Camioneta,Mazda,Cali,,5,Gasolina,68000,CX-5,2.0,93000000,Valle Del Cauca,Automática,2018
,Chevrolet,Támesis,,5,Gasolina,28000,Onix,,47500000,Antioquia,Mecánica,2018
Camioneta,Dodge,Engativa,Plateado,5,Gasolina,84500,Durango,3.6,73000000,Bogotá D.C.,Automática,2012
Hatchback,Citroën,Barrios Unidos,Plateado,5,Gasolina,96800,C3,1.4,28900000,Bogotá D.C.,Mecánica,2012
,Chevrolet,Guadalupe,,5,Gasolina,3500,Tracker,,65000000,Antioquia,Mecánica,2018
Hatchback,Renault,Bosa,Gris,2,Gasolina,104000,Twingo,1.2,20500000,Bogotá D.C.,Mecánica,2012
Camioneta,Hyundai,Barranquilla,,5,Gasolina,92800,TUCSON IX-35,2.0,47000000,Atlántico,Mecánica,2012
Camioneta,Kia,Medellín,Gris,5,Gasolina,113000,Sorento EX v6,,63900000,Antioquia,Automática,2012
Camioneta,Suzuki,Kennedy,,5,Gasolina,48800,Vitara,1.6,65000000,Bogotá D.C.,Automática,2018
Hatchback,Chevrolet,Medellín,Blanco,5,Gasolina,115000,Spark,1.0,17900000,Antioquia,Mecánica,2012
Camioneta,Kia,Rionegro,Gris,5,Gasolina,133500,Sportage,2.0,46000000,Antioquia,Mecánica,2012
Sedán,Mazda,Medellín,,4,Gasolina,137000,3,1.6,30000000,Antioquia,Mecánica,2012
Sedán,Chevrolet,Cúcuta,,4,Gasolina,136000,Aveo,1.6,23000000,Norte De Santander,Mecánica,2012
Sedán,Renault,Soacha,,4,Gasolina,96713,Logan,1.6,23500000,Cundinamarca,Mecánica,2012
Sedán,Chevrolet,Cali,,4,Gasolina,86000,Aveo,1.5,25000000,Valle Del Cauca,Mecánica,2012
,Chevrolet,Armenia,,5,Diésel,240000,2012,,59000000,Quindio,Mecánica,2012
Sedán,Geely,Pereira,,4,Gasolina,93000,Ec,1.8,20900000,Risaralda,Mecánica,2012
Sedán,MG,Usaquén,,4,Gasolina,45000,GT,1.5,43500000,Bogotá D.C.,Mecánica,2018
,Chevrolet,La Unión,,4,Gasolina,58000,2018,,28000000,Antioquia,Mecánica,2018
Pick-Up,Nissan,Puente Aranda,Gris,2,Gasolina,98000,Frontier,2.4,44000000,Bogotá D.C.,Mecánica,2012
,Kia,Kennedy,Blanco,5,Gasolina,130000,Sportage,2400,56000000,Bogotá D.C.,Automática,2012
Sedán,Mercedes-Benz,Usaquén,Azul,4,Gasolina,76500,Clase C,1800,54500000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Cali,,4,Gasolina,59000,3,2.0,68800000,Valle Del Cauca,Automática,2018
Hatchback,Chevrolet,Medellín,,5,Gasolina,45600,Spark,1.0,27500000,Antioquia,Mecánica,2018
Station Wagon,Mazda,Ibagué,Marrón,5,Gasolina,76000,CX-5,2.0,94000000,Tolima,Automática,2018
Hatchback,Nissan,Suba,Dorado,5,Gasolina,84500,Tiida,1.8,30000000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Palmira,,4,Gasolina,62856,3,2.0,68000000,Valle Del Cauca,Automática,2018
Sedán,Volkswagen,Cartagena De Indias,Plateado,4,Gasolina,27000,Voyage,1.6,44000000,Bolívar,Mecánica,2018
Hatchback,Renault,Floridablanca,,5,Gasolina,40200,Stepway,1.6,46000000,Santander,Mecánica,2018
Sedán,Nissan,Barrios Unidos,,4,Gasolina y gas,230000,Sentra,Twin Cam,14500000,Bogotá D.C.,Mecánica,2012
,Renault,Suba,Gris,4,Gasolina,99000,Logan,,25700000,Bogotá D.C.,Mecánica,2012
Sedán,Mazda,Villavicencio,,4,Gasolina,48000,3,2.0,75500000,Meta,Automática,2018
Hatchback,Chevrolet,Supia,Blanco,5,Gasolina,23000,Spark GT,1.2,36000000,Caldas,Mecánica,2018
Camioneta,Chevrolet,Medellín,,5,Gasolina,138000,Captiva,2.4,30000000,Antioquia,Mecánica,2012
Hatchback,Renault,Zipaquirá,,5,Gasolina,110000,Sandero,1.6,25000000,Cundinamarca,Mecánica,2012
,Nissan,Medellín,Plateado,5,Gasolina,32000,TIIDA HB,1.8,32000000,Antioquia,Mecánica,2012
,Chevrolet,Usme,,4,Gasolina,113000,Spark GT,,24000000,Bogotá D.C.,Mecánica,2012
Pick-Up,Toyota,Suba,Blanco,4,Diésel,60000,Hilux,2.0,185000000,Bogotá D.C.,Automática,2018
,Renault,Suba,Gris,4,Gasolina,95000,Logan,1600,33500000,Bogotá D.C.,Mecánica,2018
Camioneta,Mazda,Neiva,Rojo,5,Gasolina,59300,CX-5,2.0,84000000,Huila,Automática,2018
Hatchback,Renault,Suba,,5,Gasolina,40000,Sandero,1.6,35000000,Bogotá D.C.,Automática,2018
Hatchback,Nissan,Girardot,,5,Gasolina,49251,March,1.6,24000000,Cundinamarca,Automática,2018
Station Wagon,Toyota,Suba,Blanco,5,Diésel,40000,Prado,3.0,214000000,Bogotá D.C.,Automática,2018
Sedán,Kia,Bogota,Gris,4,Gasolina,45000,Rio,1.4,43000000,Cundinamarca,Mecánica,2018
Camioneta,Toyota,Suba,Gris,5,Gasolina,42000,Fortuner,2.7,149000000,Bogotá D.C.,Automática,2018
Camioneta,Kia,Chapinero,Gris,5,Gasolina,37000,Sportage,2.0,88000000,Bogotá D.C.,Automática,2018
Station Wagon,Hyundai,Cali,Plateado,5,Gasolina,25000,NEW TUCSON,,82000000,Valle Del Cauca,Mecánica,2018
Hatchback,Mazda,Medellín,Gris,5,Gasolina,52211,2,1.5,53990000,Antioquia,Mecánica,2018
Station Wagon,Nissan,Suba,Gris,5,Gasolina,31000,Kicks,1600,65000000,Bogotá D.C.,Automática,2018
Hatchback,Volkswagen,Medellín,Plateado,5,Gasolina,49000,Gol,1.6,40000000,Antioquia,Mecánica,2018
Camioneta,Nissan,Cali,,5,Gasolina,30000,Qashqai,2.0,78500000,Valle Del Cauca,Automática,2018
,Ford,Barranquilla,Blanco,5,Gasolina,68000,Ecosport,,56000000,Atlántico,Mecánica,2018
Camioneta,Jeep,Medellín,,5,Gasolina,21000,Wrangler,3.6,157500000,Antioquia,Automática,2018
Camioneta,BMW,Suba,Blanco,5,Gasolina,25626,X6,4.4,214900000,Bogotá D.C.,Automática,2018
Camioneta,BMW,Cali,Blanco,5,Diésel,51000,X4,2.0,147000000,Valle Del Cauca,Automática,2018
Pick-Up,Ford,Suba,Negro,4,Diésel,45530,Raptor,,246900000,Bogotá D.C.,Automática,2018
,Hyundai,Medellín,,5,Gasolina,7800,New Tucson,,95000000,Antioquia,Automática,2018
Sedán,Mazda,Barrios Unidos,Gris,4,Gasolina,36833,3,2.0,64990000,Bogotá D.C.,Automática,2018
Camioneta,Mercedes-Benz,Suba,Negro,5,Gasolina,26000,Clase GLA,1.6,113000000,Bogotá D.C.,Automática,2018
Sedán,Mazda,Usaquén,Marrón,4,Gasolina,38949,3,2000,65900000,Bogotá D.C.,Automática,2018
Station Wagon,Mitsubishi,Medellín,Plateado,5,Diésel,34000,Montero,,160000000,Antioquia,Automática,2018
Hatchback,Mazda,Usaquén,Gris,5,Gasolina,70000,2,1.5,54000000,Bogotá D.C.,Automática,2018
Sedán,Chevrolet,Sogamoso,Blanco,4,Gasolina,31000,Sonic,1.6,47500000,Boyaca,Mecánica,2018
Camioneta,Chevrolet,Itaguí,Rojo,4,Gasolina,70000,Equinox,1.5,74900000,Antioquia,Automática,2018
Camioneta,Nissan,Rafael Uribe Uribe,Gris,5,Gasolina,51500,Kicks,1.6,64000000,Bogotá D.C.,Mecánica,2018
Sedán,Kia,Puente Aranda,Rojo,4,Gasolina,22000,Rio,1.4,58900000,Bogotá D.C.,Automática,2018
Station Wagon,Nissan,Rafael Uribe Uribe,Gris,5,Gasolina,51500,Kicks,1600,64000000,Bogotá D.C.,Mecánica,2018
Van,Chevrolet,Usaquén,Blanco,4,Gasolina,38715,N300,,44300000,Bogotá D.C.,Mecánica,2018
,Kia,Cali,Blanco,5,Gasolina,32000,Picanto,1250,43000000,Valle Del Cauca,Automática,2018
Camioneta,Toyota,Teusaquillo,Blanco,4,Gasolina,60000,Hilux,,142000000,Bogotá D.C.,Mecánica,2018
